Word,Tag,Sentence_ID,STIX_Tag,Source
Super,B-Malware,0,B-Malware,CyNER
Mario,I-Malware,0,I-Malware,CyNER
Run,I-Malware,0,I-Malware,CyNER
Malware,I-Malware,0,I-Malware,CyNER
#,O,0,O,CyNER
2,O,0,O,CyNER
–,O,0,O,CyNER
DroidJack,B-Malware,0,B-Malware,CyNER
RAT,I-Malware,0,I-Malware,CyNER
Gamers,O,0,O,CyNER
love,O,0,O,CyNER
Mario,B-System,0,B-Software,CyNER
and,O,0,O,CyNER
Pokemon,B-System,0,B-Software,CyNER
",",O,0,O,CyNER
but,O,0,O,CyNER
so,O,0,O,CyNER
do,O,0,O,CyNER
malware,O,0,O,CyNER
authors,O,0,O,CyNER
.,O,0,O,CyNER
A,O,1,O,CyNER
few,O,1,O,CyNER
days,O,1,O,CyNER
back,O,1,O,CyNER
",",O,1,O,CyNER
we,O,1,O,CyNER
wrote,O,1,O,CyNER
about,O,1,O,CyNER
an,O,1,O,CyNER
Android,B-System,1,B-Software,CyNER
Marcher,B-Malware,1,B-Malware,CyNER
trojan,O,1,O,CyNER
variant,O,1,O,CyNER
posing,O,1,O,CyNER
as,O,1,O,CyNER
the,O,1,O,CyNER
Super,B-System,1,B-Software,CyNER
Mario,I-System,1,I-Software,CyNER
Run,I-System,1,I-Software,CyNER
game,O,1,O,CyNER
for,O,1,O,CyNER
Android,B-System,1,B-Software,CyNER
.,O,1,O,CyNER
We,O,2,O,CyNER
have,O,2,O,CyNER
found,O,2,O,CyNER
another,O,2,O,CyNER
instance,O,2,O,CyNER
of,O,2,O,CyNER
malware,O,2,O,CyNER
posing,O,2,O,CyNER
as,O,2,O,CyNER
the,O,2,O,CyNER
Super,B-System,2,B-Software,CyNER
Mario,I-System,2,I-Software,CyNER
Run,I-System,2,I-Software,CyNER
Android,B-System,2,B-Software,CyNER
app,O,2,O,CyNER
",",O,2,O,CyNER
and,O,2,O,CyNER
this,O,2,O,CyNER
time,O,2,O,CyNER
it,O,2,O,CyNER
has,O,2,O,CyNER
taken,O,2,O,CyNER
the,O,2,O,CyNER
form,O,2,O,CyNER
of,O,2,O,CyNER
DroidJack,B-Malware,2,B-Malware,CyNER
RAT,I-Malware,2,I-Malware,CyNER
(,O,2,O,CyNER
remote,O,2,O,CyNER
access,O,2,O,CyNER
trojan,O,2,O,CyNER
),O,2,O,CyNER
.,O,2,O,CyNER
Proofpoint,B-Organization,3,B-Identity,CyNER
wrote,O,3,O,CyNER
about,O,3,O,CyNER
the,O,3,O,CyNER
DroidJack,B-Malware,3,B-Malware,CyNER
RAT,I-Malware,3,I-Malware,CyNER
side-loaded,O,3,O,CyNER
with,O,3,O,CyNER
the,O,3,O,CyNER
Pokemon,B-System,3,B-Software,CyNER
GO,I-System,3,I-Software,CyNER
app,O,3,O,CyNER
back,O,3,O,CyNER
in,O,3,O,CyNER
July,O,3,O,CyNER
2016,O,3,O,CyNER
;,O,3,O,CyNER
the,O,3,O,CyNER
difference,O,3,O,CyNER
here,O,3,O,CyNER
is,O,3,O,CyNER
that,O,3,O,CyNER
there,O,3,O,CyNER
is,O,3,O,CyNER
no,O,3,O,CyNER
game,O,3,O,CyNER
included,O,3,O,CyNER
in,O,3,O,CyNER
the,O,3,O,CyNER
malicious,O,3,O,CyNER
package,O,3,O,CyNER
.,O,3,O,CyNER
The,O,4,O,CyNER
authors,O,4,O,CyNER
are,O,4,O,CyNER
trying,O,4,O,CyNER
to,O,4,O,CyNER
latch,O,4,O,CyNER
onto,O,4,O,CyNER
the,O,4,O,CyNER
popularity,O,4,O,CyNER
of,O,4,O,CyNER
the,O,4,O,CyNER
Super,B-System,4,B-Software,CyNER
Mario,I-System,4,I-Software,CyNER
Run,I-System,4,I-Software,CyNER
game,O,4,O,CyNER
to,O,4,O,CyNER
target,O,4,O,CyNER
